--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  3900608231 /    1  NB    800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       7299.94-         0.000 MABOGD       28.02.2019 26.0
  3900609781 /    1  NB    800000     106259     ONESTEEL MANUFACTURING PTY LTD        INVENTORY                     178991.28-         0.000              21.02.2019 21.0
  3900609781 /    2  NB    800000     106259     ONESTEEL MANUFACTURING PTY LTD        INVENTORY                     292183.69-         0.000              21.02.2019 21.0
  3900609781 /    3  NB    800000     106259     ONESTEEL MANUFACTURING PTY LTD        INVENTORY                     231015.72-         0.000              21.02.2019 21.0
  4200028793 /    1  ECDP  800000     101689     ZZ ENGINEERING PTY LTD                INVENTORY                        190.00-         2.000 MAJOVS       26.02.2018 27.0
  4200028810 /    1  ECDP  800000     101689     ZZ ENGINEERING PTY LTD                INVENTORY                        260.00-         2.000 MAJOVS       26.02.2018 27.0
  4200030309 /    1  ECDP  800000     101689     ZZ ENGINEERING PTY LTD                INVENTORY                       3976.00-         8.000 MALAKG       26.02.2018 09.1
  4200030335 /    4  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.00-         0.000 MALAKG       25.01.2018 10.0
  4200030421 /    1  ECDP  800000     101689     ZZ ENGINEERING PTY LTD                INVENTORY                        994.00-         2.000 MALAKG       26.02.2018 15.1
  4200030906 /    1  ECDP  800000     103956     METSO MINERALS AUSTRALIA PL           INVENTORY                       1952.00-         1.000 MALAKG       18.02.2019 04.0
  4200030998 /    1  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       16.05.2018 21.0
  4200030998 /    2  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       16.05.2018 18.0
  4200030998 /    3  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       16.05.2018 22.0
  4200030998 /    4  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       16.05.2018 21.0
  4200031077 /    1  ECDP  800000     115443     ASHBOLT ENGINEERING SERVICES PTY LT   INVENTORY                      18240.00-         1.000 MASMIC6      20.12.2018 03.0
  4200031316 /    3  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       13.08.2018 11.0
  4200031316 /    4  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.01-         0.000 MALAKG       13.08.2018 11.0
  4200031518 /    1  ECDP  800000     202503     DANIELI                               INVENTORY                      45966.81-         2.000 MASMIC6      13.02.2019 16.0
  4200031550 /    1  ECDP  800000     202161     CASEY EQUIPMENT CORPORATION           INVENTORY                          1.00-         0.000 MAVALD       11.10.2018 30.0
  4200031902 /    1  ECDP  800000     102831     VALVEMAN                              INVENTORY                     130894.00-         1.000 MAESTM       27.02.2019 07.0
  4200032021 /    1  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          0.99-         0.000 MALAKG       22.11.2018 11.1
  4200032021 /    2  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          0.99-         0.000 MALAKG       22.11.2018 12.1
  4200032021 /    3  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          0.99-         0.000 MALAKG       22.11.2018 10.1
  4200032021 /    4  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          0.99-         0.000 MALAKG       22.11.2018 19.1
  4200032149 /    1  ECDP  800000     201575     EUSKAL FORGING SA                     INVENTORY                          1.00-         0.000 MALAKG       30.10.2018 07.1
  4200032161 /    1  ECDP  800000     116963     PROGRESS RAIL                         INVENTORY                      85549.00-         1.000 MALAKG       01.02.2019 16.1
  4200032202 /    1  ECDP  800000     202556     COSMIC INDUSTRY CO LTD                INVENTORY                          1.00-         0.000 MALAKG       24.01.2019 15.0
  4200032225 /    2  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.00-         0.000 MALAKG       09.01.2019 24.1
  4200032225 /    3  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.00-         0.000 MALAKG       09.01.2019 22.1
  4200032225 /    4  ECDP  800000     201473     JIANDE XINGMING SPECIAL FOUNDRY CO    INVENTORY                          1.00-         0.000 MALAKG       09.01.2019 23.0
  4200032243 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                          1.01-         0.000 MAJOVS       14.01.2019 12.1
  4200032244 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                          1.01-         0.000 MAJOVS       14.01.2019 12.1
  4200032245 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                          1.01-         0.000 MAJOVS       14.01.2019 12.1
  4200032308 /    1  ECDP  800000     106765     BORAL TIMBER                          INVENTORY                      16920.00-        20.000 MAJOVS       31.10.2018 30.1
  4200032441 /    1  ECDP  800000     102738     ONESTEEL STEEL AND TUBE               INVENTORY                        179.90-         2.000 MAVALD       01.02.2019 13.1
  4200032463 /    1  ECDP  800000     102286     SCHUNK CARBON TECHNOLOGY PTY LTD      INVENTORY                       7000.00-         2.000 MALAKG       10.12.2018 03.1
  4200032737 /    1  ECDP  800000     103885     TIC-AUSTRALIA                         INVENTORY                          1.00-         0.000 MAVALD       26.02.2019 28.0
  4200032740 /    1  ECDP  800000     104117     STAUFF CORPORATION PTY LTD            INVENTORY                        559.00-        10.000 SRM_ER04     23.01.2019 13.0
  4200032763 /    1  ECDP  800000     104115     SNARE FABRICATIONS PTY LTD            INVENTORY                       1790.00-         1.000 MALAKG       19.02.2019 23.0
  4200032766 /    1  ECDP  800000     104115     SNARE FABRICATIONS PTY LTD            INVENTORY                       1790.00-         1.000 MALAKG       19.02.2019 13.0
  4200032779 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                       1161.60-         0.000 SRM_ER04     15.01.2019 14.0
  4200032806 /    1  ECDP  800000     202583     MAT MALMEDIE ANTRIEBSTECHNIK GMBH     INVENTORY                          0.50-         0.000 MALAKG       23.01.2019 23.0
  4200032823 /    1  ECDP  800000     110301     CUTTING EDGES EQUIPMENT PARTS PTY L   INVENTORY                       1495.62-         1.000 MALAKG       19.02.2019 11.0
  4200032839 /    1  ECDP  800000     202062     FENDERTEC                             INVENTORY                          1.01-         0.000 MALAKG       31.01.2019 28.0
  4200032847 /    1  ECDP  800000     202400     GRAPHITE INDIA LTD                    INVENTORY                          1.02-         0.000 MALAKG       25.02.2019 20.0
  4200032898 /    1  ECDP  800000     103722     RENOLD AUSTRALIA PTY LTD(WETHERILL    INVENTORY                         37.45-         1.000 MALAKG       14.02.2019 20.0
  4200032918 /    1  ECDP  800000     103497     FOWLEREX TECHNOLOGIES PTY LTD         INVENTORY                       2395.00-         0.000 MAJOVS       22.02.2019 21.0
  4200032931 /    1  ECDP  800000     111510     FM SCANU ENGINEERING PTY LTD          INVENTORY                      14160.00-         0.000 MALAKG       28.02.2019 01.0
  4300056571 /   92  ECDP  800000     102791     use 113770 PEABODY HELENSBURGH COAL   INVENTORY                   11712363.68-         0.000              28.02.2019 28.0
  4300083368 /   73  ECDP  800000     103551     TAHMOOR COLLIERY                      INVENTORY                    3035937.98-         0.000              28.02.2019 28.0
  4300095404 /    1  ECDP  800000     200497     ESAB WELDING & CUTTING PRODUCTS DBA   INVENTORY                       1000.00-         0.000 MAJOVS       10.02.2015 15.0
  4300102937 /    1  ECDP  800000     200497     ESAB WELDING & CUTTING PRODUCTS DBA   INVENTORY                        995.00-         0.000 MAJOVS       29.06.2015 02.0
  4300104834 /   44  ECDP  800000     103562     WESTON ALUMINIUM PTY LTD              INVENTORY                    1333978.56-       455.860              28.02.2019 28.0
  4300104835 /   42  ECDP  800000     103562     WESTON ALUMINIUM PTY LTD              INVENTORY                      60632.73-        20.720              28.02.2019 28.0
  4300104837 /   39  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                     185529.98-         1.470              28.02.2019 28.0
  4300109391 /   69  ECDP  800000     113770     METROPOLITAN COLLIERIES PTY LTD       INVENTORY                    1530619.73-         0.000              28.02.2019 28.0
  4300109391 /   70  ECDP  800000     113770     METROPOLITAN COLLIERIES PTY LTD       INVENTORY                    1519679.75-         0.000              28.02.2019 28.0
  4300119326 /   32  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                      48223.96-        34.600              28.02.2019 28.0
  4300119327 /   23  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                      28914.21-      6200.000              31.05.2018 31.0
  4300119327 /   34  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                      28843.05-      5900.000              28.02.2019 28.0
  4300119328 /   33  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                     319203.34-     14209.000              28.02.2019 28.0
  4300119329 /   32  ECDP  800000     103573     DICKINSONS METALLURGICAL SUPPLIES     INVENTORY                      23496.21-        23.460              28.02.2019 28.0
  4300134684 /  104  ECDP  800000     103017     ILLAWARRA COAL HOLDINGS PTY LTD       INVENTORY                    7786995.06-         0.000              28.02.2019 22.0
  4300134684 /  105  ECDP  800000     103017     ILLAWARRA COAL HOLDINGS PTY LTD       INVENTORY                    7122089.03-         0.000              28.02.2019 28.0
  4300136874 /    1  ECDP  800000     200470     ATIMA TPIM SA                         INVENTORY                       1666.66-         0.000 Oth - HSM    01.12.2017 10.1
  4300138087 /   11  ECDP  800000     113770     METROPOLITAN COLLIERIES PTY LTD       INVENTORY                     403224.66-         0.000              28.02.2019 28.0
  4300139477 /    1  ECDP  800000     201816     SINFONIA TECHNOLOGY SINGAPORE PTE L   INVENTORY                        685.00-         0.000 MALAKG       19.03.2018 12.0
  4300141950 /    1  ECDP  800000     103823     QUALITY CASTINGS PTY LTD              INVENTORY                        870.00-        10.000 MALAKG       05.09.2018 10.0
  4300144229 /    1  ECDP  800000     200462     SMS GROUP GMBH                        INVENTORY                          1.01-         0.000 MASMIC6      18.06.2018 20.0
  4300145152 /    1  ECDP  800000     201550     AMOVA GMBH                            INVENTORY                       5000.00-         0.000 MASMIC6      03.09.2018 13.0
  4300146731 /    1  ECDP  800000     201550     AMOVA GMBH                            INVENTORY                       5000.00-         0.000 MASMIC6      03.09.2018 19.0
  4300146732 /    1  ECDP  800000     201550     AMOVA GMBH                            INVENTORY                       5000.00-         0.000 MASMIC6      03.09.2018 25.0
  4300147201 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                       1971.84-       312.000 MAJOVS       12.07.2018 18.0
  4300149902 /    1  ECDP  800000     201543     IMERYS METALCASTING GERMANY GMBH      INVENTORY                          0.81-         0.000 MAJOVS       19.10.2018 12.1
  4300149903 /    1  ECDP  800000     201543     IMERYS METALCASTING GERMANY GMBH      INVENTORY                       8826.00-         0.000 MAJOVS       24.01.2019 24.1
  4300150515 /    1  ECDP  800000     103255     SUEZ WATER TECHNOLOGIES & SOLUTIONS   INVENTORY                        892.60-        20.000 MAJOVS       28.08.2018 03.0
  4300150609 /    1  ECDP  800000     201875     PAUL WURTH SA                         INVENTORY                          0.99-         0.000 Oth - BF 5 & 08.08.2018 31.0
  4300150999 /    6  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      70780.65-    100000.000              05.02.2019 28.0
  4300151441 /    1  ECDP  800000     202161     CASEY EQUIPMENT CORPORATION           INVENTORY                          1.00-         0.000 MAVALD       12.11.2018 24.1
  4300151554 /    1  ECDP  800000     115443     ASHBOLT ENGINEERING SERVICES PTY LT   INVENTORY                      35592.00-         4.000 MASMIC6      22.02.2019 11.1
  4300152678 /    1  ECDP  800000     106259     ONESTEEL MANUFACTURING PTY LTD        INVENTORY                      93782.95-     43250.000              21.09.2018 16.0
  4300152903 /    1  ECDP  800000     104115     SNARE FABRICATIONS PTY LTD            INVENTORY                      10120.00-         1.000 MALAKG       04.02.2019 19.0
  4300153705 /    1  ECDP  800000     102831     VALVEMAN                              INVENTORY                       1020.00-         1.000 MAJOVS       05.02.2019 11.0
  4300154279 /    1  ECDP  800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                       1775.00-         5.000 Oth - BOS    26.10.2018 02.1
  4300154312 /    1  ECDP  800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                       1677.00-         3.000 MAJOVS       04.10.2018 26.0
  4300154551 /    1  ECDP  800000     200470     ATIMA TPIM SA                         INVENTORY                        914.73-         2.000 Oth - HSM    04.12.2018 08.1
  4300154705 /    1  ECDP  800000     201716     PREMIUM TRANSMISSION LTD              INVENTORY                        108.75-         5.000 MALAKG       04.12.2018 03.1
  4300155090 /    1  ECDP  800000     102831     VALVEMAN                              INVENTORY                        509.60-         1.040 MAJOVS       25.10.2018 25.1
  4300155182 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                       5000.00-         0.000 MAJOVS       14.01.2019 12.1
  4300155183 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                          1.00-         0.000 MAJOVS       14.01.2019 12.1
  4300155184 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                          1.00-         0.000 MAJOVS       14.01.2019 12.1
  4300155898 /    1  ECDP  800000     200470     ATIMA TPIM SA                         INVENTORY                        956.27-         2.000 Oth - HSM    24.12.2018 15.0
  4300156235 /    1  ECDP  800000     114217     MAN DIESEL & TURBO AUSTRALIA PTY LT   INVENTORY                       7380.86-         3.000 MAJOVS       29.01.2019 08.0
  4300156236 /    1  ECDP  800000     116394     CONVOLUTED TECHNOLOGIES PTY LTD       INVENTORY                       3064.00-         0.000 MAJOVS       05.11.2018 21.1
  4300156239 /    1  ECDP  800000     103836     PANDROL AUSTRALIA PTY LTD             INVENTORY                       2202.00-       600.000 MALAKG       20.12.2018 14.1
  4300156692 /    1  ECDP  800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                       1065.00-         3.000 Oth - BOS    25.01.2019 02.0
  4300157713 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        638.40-         0.000 MASMIC6      04.12.2018 02.1
  4300157842 /    1  ECDP  800000     103367     WEARCO NSW                            INVENTORY                       2610.00-         0.000 MALAKG       10.12.2018 21.0
  4300157921 /    1  ECDP  800000     104528     HG FARLEY LASERLAB CO PTY LTD         INVENTORY                       2235.00-        50.000 Oth - Plate  10.12.2018 23.1
  4300158232 /    1  ECDP  800000     200470     ATIMA TPIM SA                         INVENTORY                        474.47-         1.000 Oth - HSM    25.02.2019 06.0
  4300158444 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      20253.00-       120.000 MAJOVS       28.02.2019 15.0
  4300158456 /    1  ECDP  800000     103921     ANTEC ENGINEERING PTY LTD             INVENTORY                       1928.00-       400.000 ZAJONN       25.01.2019 01.0
  4300158546 /    1  ECDP  800000     103699     NHP ELECTRICAL ENGINEERING PRODUCTS   INVENTORY                        143.32-         0.070 MALAKG       04.01.2019 11.0
  4300158893 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      10126.50-       300.000 MAJOVS       28.02.2019 31.0
  4300158894 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                       1971.84-         0.000 MAJOVS       28.02.2019 31.0
  4300158896 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        315.00-         0.000 MAlakg       05.02.2019 21.0
  4300158975 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                       6761.60-         0.000 MASMIC6      28.02.2019 06.0
  4300159034 /    1  ECDP  800000     103836     PANDROL AUSTRALIA PTY LTD             INVENTORY                       3239.60-       520.000 MALAKG       17.01.2019 01.0
  4300159035 /    1  ECDP  800000     103836     PANDROL AUSTRALIA PTY LTD             INVENTORY                       1914.00-       580.000 MALAKG       12.02.2019 23.0
  4300159039 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                       1358.32-         8.000 MALAKG       15.01.2019 14.0
  4300159040 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        538.85-         1.000 MALAKG       30.01.2019 07.0
  4300159151 /    1  ECDP  800000     115189     HIRONO AUST PTY LTD                   INVENTORY                      36480.00-         0.000 MAJOVS       28.02.2019 30.0
  4300159153 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      31272.40-       360.000 MAJOVS       28.02.2019 31.0
  4300159204 /    1  ECDP  800000     103629     R&H INDUSTRIAL SERVICES PTY LTD       INVENTORY                        899.00-         1.000 MAJOVS       05.02.2019 27.0
  4300159498 /    1  ECDP  800000     103921     ANTEC ENGINEERING PTY LTD             INVENTORY                        500.48-         0.000 MAJOVS       19.02.2019 11.0
  4300159499 /    1  ECDP  800000     103921     ANTEC ENGINEERING PTY LTD             INVENTORY                        604.16-         0.000 MAJOVS       19.02.2019 11.0
  4300159553 /    1  ECDP  800000     105259     JOES DIY PLY & WOOD                   INVENTORY                        618.20-        20.000 Oth - BF 5 & 26.02.2019 07.0
  4300159720 /    1  ECDP  800000     103921     ANTEC ENGINEERING PTY LTD             INVENTORY                        405.00-         0.000 MABOGD       22.02.2019 22.0
  4300159811 /    1  ECDP  800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                       2236.00-         4.000 MAJOVS       25.02.2019 06.0
  4300159836 /    1  ECDP  800000     103921     ANTEC ENGINEERING PTY LTD             INVENTORY                        351.00-         0.000 ZAJONN       28.02.2019 01.0
  4300159884 /    1  ECDP  800000     115189     HIRONO AUST PTY LTD                   INVENTORY                       2479.00-         0.000 MAJOVS       28.02.2019 27.0
  4300159971 /    1  ECDP  800000     114014     ARMSTRONG FLOW CONTROL                INVENTORY                       1150.00-         1.000 MAJOVS       04.02.2019 30.0
  4300159980 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        514.37-         1.000 MALAKG       11.02.2019 02.0
  4300160017 /    1  ECDP  800000     103533     VESUVIUS AUSTRALIA                    INVENTORY                      23041.35-         0.000 MABOGD       28.02.2019 28.0
  4300160083 /    1  ECDP  800000     202593     EXEN RESOURCES PTE LTD                INVENTORY                   10077639.88-     34812.000              31.01.2019 31.0
  4300160145 /    1  ECDP  800000     105259     JOES DIY PLY & WOOD                   INVENTORY                        618.20-        20.000 Oth - BF 5 & 26.02.2019 21.0
  4300160245 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                       1860.00-       480.000 MAJOVS       20.02.2019 06.0
  4300160258 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        652.00-        40.000 MALAKG       13.02.2019 08.0
  4300160259 /    1  ECDP  800000     112170     TEREX JAQUES                          INVENTORY                        652.00-        40.000 MALAKG       13.02.2019 11.0
  4300160349 /    1  ECDP  800000     104087     WEIR MINERALS AUSTRALIA LTD           INVENTORY                       1677.00-         4.000 MAJOVS       25.02.2019 14.0
  4300160449 /    1  ECDP  800000     102848     SPRAYING SYSTEMS CO PTY LTD           INVENTORY                        351.84-         0.000 MALAKG       28.02.2019 02.0
  4300160475 /    1  ECDP  800000     102831     VALVEMAN                              INVENTORY                       5504.00-         8.000 Oth - BF 5 & 14.02.2019 15.0
  4300160479 /    1  ECDP  800000     105259     JOES DIY PLY & WOOD                   INVENTORY                        618.20-        20.000 Oth - BF 5 & 26.02.2019 28.0
  4300160537 /    1  ECDP  800000     113569     LSW GROUP PTY LTD                     INVENTORY                       1850.00-         0.000 MALAKG       21.02.2019 26.0
  4300160604 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      14616.00-      1440.000 MAJOVS       20.02.2019 13.0
  4300160605 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                      19653.12-         0.000 MAJOVS       20.02.2019 13.0
  4300160824 /    1  ECDP  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD   INVENTORY                       1760.20-         0.000 MAJOVS       20.02.2019 18.0
  4300160988 /    1  ECDP  800000     105259     JOES DIY PLY & WOOD                   INVENTORY                        618.20-        20.000 Oth - BF 5 & 26.02.2019 05.0
  4300161110 /    1  ECDP  800000     103987     CAPS AUSTRALIA PTY LTD                INVENTORY                        638.88-         0.000 Oth - EServ  28.02.2019 04.0
  4300161316 /    1  ECDP  800000     111510     FM SCANU ENGINEERING PTY LTD          INVENTORY                       2160.00-         0.000 MAJOVS       28.02.2019 06.0
  4300161405 /    1  ECDP  800000     103476     GRANGE RESOURCES TASMANIA PTY LTD     INVENTORY                    2770282.74-         0.000              28.02.2019 28.0
  4300161405 /    2  ECDP  800000     103476     GRANGE RESOURCES TASMANIA PTY LTD     INVENTORY                    2512059.73-         0.000              28.02.2019 28.0
  4300161500 /    1  ECDP  800000     202552     RIO TINTO COMMERCIAL PTE LTD          INVENTORY                   15054041.64-         0.000              28.02.2019 27.0
  4900018861 /    1  ZL    800000     104639     MAINTECK SERVICES PTY LTD (MACHININ   INVENTORY                      79338.00-         1.000 MAESTM       22.11.2018 30.1
  4900018983 /    1  ZL    800000     103385     SCHENCK PROCESS AUSTRALIA PTY LTD     INVENTORY                          1.00-         1.000 MALAKG       07.09.2018 07.1
  4900019019 /    1  ZL    800000     110410     HARDY SPICER                          INVENTORY                          1.00-         1.000 MAPARK       16.04.2018 30.0
